symbol,net_pnl
TSLA,0.5023733419465118
ZM,0.4031795638208598
WDC,0.20845346589607583
PLTR,0.2020809743789686
NVDA,0.16200905740214144
DOCU,0.125843209864692
MU,0.12148059866699953
MRNA,0.12011962083885197
ASML,0.11568048604027675
ADBE,0.11438625664939889
INTU,0.10695860924742363
MELI,0.10228550270457334
NFLX,0.09447649156038035
CRWD,0.09444682125367779
ALXN,0.08680440920135983
META,0.07372127760931221
AMAT,0.06729987350683352
SBUX,0.06505106994851118
APP,0.06101620408096695
PDD,0.054431344623021904
AMD,0.05056657211060217
ISRG,0.04916674975942606
AVGO,0.04501832108182379
TMUS,0.04030408296554265
LRCX,0.03923442816361722
GOOG,0.03370863144101274
DXCM,0.03142001985466783
VRTX,0.031032486848114483
ADP,0.029174018030213713
PANW,0.02358391671057961
CSCO,0.01973746506863648
COST,0.017788532534597796
BKNG,0.013713901201480708
PEP,0.012816910084355626
JD,0.009984865550799065
MSFT,0.007454527276445537
REGN,0.005669054927815614
LIN,0.003470062994452256
QCOM,0.0034075851487831077
GILD,4.903526516437565e-05
SHOP,0.0
WYNN,0.0
UAL,0.0
SIRI,0.0
CHTR,0.0
BMRN,0.0
BKR,0.0
BIIB,0.0
BIDU,0.0
CELG,0.0
CDW,0.0
CERN,0.0
CHKP,0.0
ADI,0.0
AEP,0.0
ANSS,0.0
ARM,0.0
AMZN,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
QQQ,0.0
AAL,0.0
ABNB,0.0
CCEP,0.0
AXON,0.0
AZN,0.0
CDNS,0.0
GEHC,0.0
MDB,0.0
LBTYA,0.0
KHC,0.0
FTNT,0.0
FOXA,0.0
FOX,0.0
FI,0.0
GFS,0.0
FANG,0.0
INTC,0.0
KDP,0.0
HAS,0.0
INSM,0.0
HSIC,0.0
IDXX,0.0
ILMN,0.0
MNST,0.0
EA,0.0
EBAY,0.0
EXC,0.0
FER,0.0
FAST,0.0
EXPE,0.0
CSGP,0.0
CTAS,0.0
CSX,0.0
CTSH,0.0
CTXS,0.0
DLTR,0.0
DDOG,0.0
CPRT,0.0
CMCSA,0.0
XEL,0.0
WDAY,0.0
TTWO,0.0
ULTA,0.0
LULU,0.0
MRVL,0.0
MDLZ,0.0
MPWR,0.0
LBTYK,0.0
LCID,0.0
INCY,0.0
JBHT,0.0
KLAC,0.0
MAR,0.0
MCHP,0.0
NTAP,0.0
ORLY,0.0
ON,0.0
OKTA,0.0
ODFL,0.0
NTES,0.0
NXPI,0.0
PAYX,0.0
PCAR,0.0
ROST,0.0
SGEN,0.0
ROP,0.0
NLOK,0.0
MXIM,0.0
MYL,0.0
MTCH,0.0
MSTR,0.0
WTW,0.0
WMT,0.0
VRSK,0.0
VRSN,0.0
RIVN,0.0
SWKS,0.0
SNDK,0.0
SNPS,0.0
TTD,0.0
TCOM,0.0
TEAM,0.0
TRI,0.0
TXN,0.0
STX,0.0
SOLS,0.0
SPLK,0.0
VSNT,0.0
WBA,0.0
ZS,-0.0005532978864314199
DASH,-0.006889092722880239
ATVI,-0.009369746530537447
XLNX,-0.016982531189644583
CEG,-0.019119820040918487
WBD,-0.02328051400138234
GOOGL,-0.027791192133660433
AAPL,-0.03127348432147964
HON,-0.03188825969728718
PTON,-0.050993513048070156
AMGN,-0.05457943486904324
PYPL,-0.07173657391261022
SMCI,-0.07370382506428805
ENPH,-0.08404803226311292
