symbol,net_pnl
SOXL,1.8160516962832387
TQQQ,0.9916337055118024
TLT,0.1889194643156723
GLD,0.10591876219322408
XLU,0.09167137122397592
ARKK,0.09014737945010527
IWM,0.012132649253259199
SPY,0.01148149158076368
XLK,0.006333760562440641
XLI,0.004363751525479922
BIL,0.0
XLB,0.0
XLRE,0.0
XLC,0.0
SHY,0.0
QQQ,0.0
SMH,0.0
USO,0.0
HYG,-0.004747456556888297
DIA,-0.016238632596141354
XLY,-0.02441389009692012
XLP,-0.025728212435646644
XLV,-0.03445930440194828
XLF,-0.048912095845669905
XLE,-0.5275304040925384
SQQQ,-0.527969970624535
SOXS,-0.8477191302733731
