variant,gap_tail,minimum_reclaim_fraction,auction_state,horizon,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,selected_events_recent,symbol_count_recent,signal_days_recent,post_signal_invalid_days,median_events_per_active_day,top_5_day_profit_share,top_10_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
tail02_reclaim00_all_1200_c5,0.02,0.0,all,1200,5,-0.5753166290247543,0.6333517150487907,,True,222,81,207,4,1.0,,,,-0.03196203494581968,11,0,-0.012102529734970923,8,0,-0.023811524081473606,6,0
tail02_reclaim00_all_1200_c10,0.02,0.0,all,1200,10,-0.7783166290247545,0.810359206914482,,True,222,81,207,4,1.0,,,,-0.04323981272359747,14,0,-0.023102529734970925,11,0,-0.03489485741480695,9,0
tail02_reclaim00_all_1200_c20,0.02,0.0,all,1200,20,-1.1843166290247544,1.199560558047047,,True,222,81,207,4,1.0,,,,-0.06579536827915303,15,0,-0.04510252973497093,12,0,-0.05706152408147361,10,0
tail02_reclaim00_all_final_c5,0.02,0.0,all,final,5,-0.5959138251450928,0.795087024459775,,True,227,82,207,0,1.0,,,,-0.033106323619171825,11,0,-0.01625076248891213,9,0,-0.03177174476230143,7,0
tail02_reclaim00_all_final_c10,0.02,0.0,all,final,10,-0.8029138251450931,0.9637082242134464,,True,227,82,207,0,1.0,,,,-0.04460632361917184,12,0,-0.027517429155578813,10,0,-0.0431884114289681,8,0
tail02_reclaim00_all_final_c20,0.02,0.0,all,final,20,-1.2169138251450933,1.3151951579260153,,True,227,82,207,0,1.0,,,,-0.06760632361917185,13,0,-0.05005076248891214,11,0,-0.06602174476230142,9,0
tail02_reclaim00_participation_q50_1200_c5,0.02,0.0,participation_q50,1200,5,-0.5445827899398883,0.6373414226647593,,True,171,78,165,2,1.0,,,,-0.030254599441104906,11,0,-0.012356911456880419,8,0,-0.01561115539177533,6,0
tail02_reclaim00_participation_q50_1200_c10,0.02,0.0,participation_q50,1200,10,-0.7075827899398885,0.7742574951897528,,True,171,78,165,2,1.0,,,,-0.03931015499666047,11,0,-0.021223578123547093,8,0,-0.02486115539177534,6,0
tail02_reclaim00_participation_q50_1200_c20,0.02,0.0,participation_q50,1200,20,-1.0335827899398884,1.0514110935649672,,True,171,78,165,2,1.0,,,,-0.057421266107771575,14,0,-0.038956911456880426,11,0,-0.04336115539177534,9,0
tail02_reclaim00_participation_q50_final_c5,0.02,0.0,participation_q50,final,5,-0.2736436004193842,0.5068093991359501,,True,173,78,165,0,1.0,,,,-0.01520242224552134,9,0,0.00041512178745278425,7,0,-0.0019691515719801045,5,0
tail02_reclaim00_participation_q50_final_c10,0.02,0.0,participation_q50,final,10,-0.4386436004193843,0.6357825237106954,,True,173,78,165,0,1.0,,,,-0.024369088912188017,9,0,-0.008584878212547224,7,0,-0.01138581823864678,5,0
tail02_reclaim00_participation_q50_final_c20,0.02,0.0,participation_q50,final,20,-0.7686436004193844,0.90714084563756,,True,173,78,165,0,1.0,,,,-0.04270242224552135,12,0,-0.02658487821254722,9,0,-0.030219151571980102,7,0
