symbol,net_pnl
ZM,0.18457923682407473
NFLX,0.09251704791574315
NVDA,0.07751478073827898
JD,0.06390880726526671
TMUS,0.06129802319559522
MELI,0.05760320798729687
MRNA,0.05629340503499311
ABNB,0.05297323878792733
AAPL,0.04841725068273327
CRWD,0.04410392392829224
COST,0.03713331722697975
QCOM,0.03560153661640289
PANW,0.027471052718727566
PYPL,0.02164550506476507
AVGO,0.020091289410498356
TXN,0.01896912586178914
INTC,0.01790685528224102
SNDK,0.016393660538716923
WMT,0.012296624073142505
PTON,0.010765535996169643
DOCU,0.010689522931265379
GILD,0.010503771124311015
MRVL,0.009970658191173789
BKNG,0.009724645813822168
UAL,0.009243029510103274
LRCX,0.007937474568720177
BIDU,0.007612842428227107
EBAY,0.006365952455944335
MSFT,0.00618663383986931
ADI,0.0037937883507975995
NXPI,0.0026578994240056266
LULU,0.0024891883195994856
ADBE,0.0024283378906824046
WDAY,0.0012427458065776688
AMGN,0.0005808683530880692
AAL,0.0
QQQ,0.0
XLNX,0.0
WBD,0.0
WYNN,0.0
ULTA,0.0
WBA,0.0
VSNT,0.0
VRSN,0.0
CHKP,0.0
BMRN,0.0
BKR,0.0
CERN,0.0
CELG,0.0
CEG,0.0
CDW,0.0
CDNS,0.0
CCEP,0.0
AEP,0.0
ALXN,0.0
ALNY,0.0
AXON,0.0
AZN,0.0
BIIB,0.0
ANSS,0.0
ARM,0.0
ADP,0.0
ADSK,0.0
ALGN,0.0
FOX,0.0
FI,0.0
CSX,0.0
CTAS,0.0
CPRT,0.0
MNST,0.0
MPWR,0.0
MDB,0.0
LBTYA,0.0
FOXA,0.0
FTNT,0.0
GFS,0.0
GEHC,0.0
KLAC,0.0
JBHT,0.0
IDXX,0.0
HAS,0.0
INCY,0.0
ILMN,0.0
INSM,0.0
HSIC,0.0
MCHP,0.0
KHC,0.0
EXC,0.0
ENPH,0.0
FANG,0.0
FAST,0.0
FER,0.0
EXPE,0.0
DDOG,0.0
DLTR,0.0
DASH,0.0
CTXS,0.0
DXCM,0.0
EA,0.0
CTSH,0.0
CSGP,0.0
WTW,0.0
XEL,0.0
SOLS,0.0
TEAM,0.0
TTD,0.0
SMCI,0.0
SPLK,0.0
VRSK,0.0
ZS,0.0
TRI,0.0
SWKS,0.0
KDP,0.0
LBTYK,0.0
MAR,0.0
ODFL,0.0
NLOK,0.0
SIRI,0.0
SGEN,0.0
ROP,0.0
PAYX,0.0
PCAR,0.0
ROST,0.0
RIVN,0.0
TTWO,0.0
TCOM,0.0
OKTA,0.0
NTAP,0.0
NTES,0.0
ORLY,0.0
MTCH,0.0
MYL,0.0
MXIM,0.0
LIN,-0.00010060105088526656
MDLZ,-0.0006750218793097374
CMCSA,-0.0053687698962423145
ASML,-0.006713285681015842
GOOG,-0.007645940522873758
REGN,-0.007812266478931904
CHTR,-0.008840707190438207
SHOP,-0.010406483375651858
SNPS,-0.011234937627716535
HON,-0.011984534934102061
AMZN,-0.01206728623276047
ATVI,-0.013071578342320632
ISRG,-0.013145847874057825
GOOGL,-0.014049678399702966
SBUX,-0.014749836943213865
WDC,-0.015099742138731359
ON,-0.01578318292645659
APP,-0.018151531234592205
MSTR,-0.022587796251770532
CSCO,-0.024901272081689227
AMAT,-0.026338784067085945
LCID,-0.02987793603375405
INTU,-0.032145154132487024
STX,-0.0414071781215554
AMD,-0.047250150925063066
META,-0.05593533488684831
TSLA,-0.05948708843790281
PLTR,-0.06540207663892716
PEP,-0.07189704765181433
MU,-0.0784697853196562
VRTX,-0.09679645801099808
PDD,-0.12991781896282292
