symbol,net_pnl
META,0.2725856804924566
MRNA,0.25655005617650306
NFLX,0.15026792802161923
AMAT,0.1379854300516098
WDC,0.12962502530709194
PLTR,0.11670383435891
APP,0.10805767681257852
GOOGL,0.10573887282167357
LRCX,0.10203249424224563
MU,0.09971292183326219
AVGO,0.09887764186982816
AMD,0.066214457743126
AAPL,0.051270826844910994
DASH,0.04843131610134286
PYPL,0.04158164058698738
WBD,0.03823608106838565
ISRG,0.03660392025095971
PEP,0.019936505601318273
CEG,0.0190693364619382
AMGN,0.018106931206658138
NVDA,0.017485785981597043
COST,0.012540145979848412
ON,0.01161357582254273
ADBE,0.00637901170581216
MTCH,0.000304889736638332
ABNB,0.0
AAL,0.0
ALNY,0.0
QQQ,0.0
ANSS,0.0
ALXN,0.0
ALGN,0.0
AMZN,0.0
ASML,0.0
ARM,0.0
AEP,0.0
ADP,0.0
XEL,0.0
WMT,0.0
CHTR,0.0
CHKP,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
FOX,0.0
FI,0.0
ENPH,0.0
FANG,0.0
FAST,0.0
EXC,0.0
CPRT,0.0
DLTR,0.0
CTSH,0.0
CTXS,0.0
DDOG,0.0
CSX,0.0
CSGP,0.0
CTAS,0.0
CMCSA,0.0
MDB,0.0
MCHP,0.0
MNST,0.0
LBTYK,0.0
ILMN,0.0
HAS,0.0
HSIC,0.0
HON,0.0
LBTYA,0.0
JBHT,0.0
JD,0.0
KDP,0.0
KHC,0.0
INCY,0.0
INSM,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MSFT,0.0
MELI,0.0
LULU,0.0
MAR,0.0
FER,0.0
EXPE,0.0
GEHC,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
EA,0.0
DOCU,0.0
EBAY,0.0
CSCO,0.0
ZM,0.0
XLNX,0.0
WTW,0.0
SNPS,0.0
SWKS,0.0
STX,0.0
SOLS,0.0
SPLK,0.0
LIN,0.0
LCID,0.0
NTAP,0.0
NLOK,0.0
ORLY,0.0
MYL,0.0
ODFL,0.0
NTES,0.0
SHOP,0.0
PANW,0.0
OKTA,0.0
PAYX,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SIRI,0.0
ROP,0.0
ROST,0.0
SBUX,0.0
SGEN,0.0
SNDK,0.0
MXIM,0.0
MSTR,0.0
WYNN,0.0
TRI,0.0
ZS,0.0
ULTA,0.0
WBA,0.0
VSNT,0.0
WDAY,0.0
VRSK,0.0
TXN,0.0
VRSN,0.0
TTWO,0.0
TTD,0.0
UAL,0.0
TEAM,0.0
TCOM,0.0
VRTX,-0.00015545290866828045
GOOG,-0.000723133876134397
INTC,-0.0031678812594360256
ADI,-0.003180487385324603
MDLZ,-0.009444246158573985
NXPI,-0.013356994195473369
TMUS,-0.013636436339721506
KLAC,-0.014864041259052007
CRWD,-0.021066993168575587
SMCI,-0.03211916778011529
GILD,-0.037037000936295736
QCOM,-0.04135189147694342
ATVI,-0.04235745307394269
INTU,-0.05105963917606048
DXCM,-0.05222531793350021
REGN,-0.07438823130594724
TSLA,-0.10760080571853263
