campaign_id,source_run,variant_id,panel,entries,position_change_count,active_days,positive_months,negative_months,inactive_months,maximum_drawdown,recent12_average_month,recent12_positive_months,recent12_negative_months,top5_day_positive_share,top5_symbol_positive_share,holding,net_-1bps,net_0bps,net_1bps,net_2bps,calendar_sessions_proxy,estimated_sessions,entries_per_session,profitable_low_cost,hf_half_daily,hf_daily,recent_consistent,prior_quote_replayed,quote_replay_required
CAM-0606,RUN-0020,etf__long_cheap_r1__top1__z1__trend0,etf,1757,2738,1757,48,39,1,0.2318741537667809,0.0682355206415636,9,3,0.0608488109252813,0.9719253541692764,open_to_close,4.243495735952476,3.8920957359524753,3.540695735952474,3.1892957359524754,1829.0,1848.0,0.9507575757575758,True,True,False,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r1__top1__z1__trend0,etf,1757,2738,1757,48,39,1,0.2318741537667809,0.0682355206415636,9,3,0.0608488109252813,0.9719253541692764,open_to_close,4.243495735952476,3.8920957359524753,3.540695735952474,3.1892957359524754,1829.0,1848.0,0.9507575757575758,True,True,False,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r1__top1__z0.5__trend0,etf,1801,2805,1801,48,39,1,0.235465647789773,0.0697749204780882,9,3,0.0603429574417724,0.9648873281609822,open_to_close,4.230511187032007,3.8703111870320055,3.5101111870320043,3.149911187032006,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r1__top1__z0.5__trend0,etf,1801,2805,1801,48,39,1,0.235465647789773,0.0697749204780882,9,3,0.0603429574417724,0.9648873281609822,open_to_close,4.230511187032007,3.8703111870320055,3.5101111870320043,3.149911187032006,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r2__top1__z1__trend0,etf,1763,2007,1763,57,30,1,0.2029186908122155,0.0695901372321853,8,4,0.0592090505451384,0.9766710692325116,open_to_close,4.106340595361568,3.753740595361567,3.401140595361565,3.0485405953615663,1829.0,1848.0,0.954004329004329,True,True,False,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r2__top1__z0.5__trend0,etf,1801,2051,1801,56,31,1,0.2028654873397177,0.0571750781822768,8,4,0.0589331772627562,0.975074519855052,open_to_close,3.988340400908784,3.6281404009087823,3.2679404009087807,2.9077404009087817,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r2__top1__z0.5__trend0,etf,1801,2051,1801,56,31,1,0.2028654873397177,0.0571750781822768,8,4,0.0589331772627562,0.975074519855052,open_to_close,3.988340400908784,3.6281404009087823,3.2679404009087807,2.9077404009087817,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r1__top5__z1__trend0,etf,2856,4575,1757,53,34,1,0.2615449501819812,0.0534266113725865,8,4,0.0651294536923776,0.9747377205523544,open_to_close,3.809872278384167,3.458472278384166,3.107072278384165,2.755672278384166,1829.0,1848.0,1.5454545454545454,True,True,True,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r1__top5__z1__trend0,etf,2856,4575,1757,53,34,1,0.2615449501819812,0.0534266113725865,8,4,0.0651294536923776,0.9747377205523544,open_to_close,3.809872278384167,3.458472278384166,3.107072278384165,2.755672278384166,1829.0,1848.0,1.5454545454545454,True,True,True,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r1__top3__z1__trend0,etf,2846,4556,1757,53,34,1,0.2598445813096381,0.0530694642685614,8,4,0.0651019991390485,0.974415482900007,open_to_close,3.803934027580509,3.4525340275805085,3.1011340275805077,2.749734027580508,1829.0,1848.0,1.54004329004329,True,True,True,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r1__top3__z1__trend0,etf,2846,4556,1757,53,34,1,0.2598445813096381,0.0530694642685614,8,4,0.0651019991390485,0.974415482900007,open_to_close,3.803934027580509,3.4525340275805085,3.1011340275805077,2.749734027580508,1829.0,1848.0,1.54004329004329,True,True,True,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r2__top3__z1__trend0,etf,2860,3637,1763,58,29,1,0.1849770574700683,0.0422853652337656,8,4,0.0540291387226639,0.9401850353783036,open_to_close,3.2604459289704977,2.9078459289704965,2.5552459289704954,2.2026459289704965,1829.0,1848.0,1.5476190476190477,True,True,True,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r2__top3__z1__trend0,etf,2860,3637,1763,58,29,1,0.1849770574700683,0.0422853652337656,8,4,0.0540291387226639,0.9401850353783036,open_to_close,3.2604459289704977,2.9078459289704965,2.5552459289704954,2.2026459289704965,1829.0,1848.0,1.5476190476190477,True,True,True,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r2__top5__z1__trend0,etf,2872,3660,1763,58,29,1,0.183645504220343,0.0422853652337656,8,4,0.0540834854153416,0.9418310033753824,open_to_close,3.258110359752095,2.905510359752093,2.552910359752093,2.200310359752094,1829.0,1848.0,1.5541125541125542,True,True,True,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r2__top5__z1__trend0,etf,2872,3660,1763,58,29,1,0.183645504220343,0.0422853652337656,8,4,0.0540834854153416,0.9418310033753824,open_to_close,3.258110359752095,2.905510359752093,2.552910359752093,2.200310359752094,1829.0,1848.0,1.5541125541125542,True,True,True,True,False,True
CAM-0608,RUN-0021,qqq__slow_residual_r5__top3__weekly,qqq,877,1864,1588,47,29,7,0.5422511747922695,0.0478924536666487,9,3,0.0485294739442181,0.3134839655759496,open_to_next_open,2.6365077169457063,2.57744698028009,2.518386243614474,2.459325506948858,1829.0,1743.0,0.5031554790590935,True,True,False,True,False,True
CAM-0606,RUN-0020,etf__long_cheap_r5__top1__z0.5__trend0,etf,1801,1457,1801,54,33,1,0.2501837933031794,0.0165815763710823,7,5,0.0588859748972192,0.8838137835801678,open_to_close,3.231283595419579,2.8710835954195777,2.510883595419576,2.150683595419577,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
CAM-0607,RUN-0020,etf__long_cheap_r5__top1__z0.5__trend0,etf,1801,1457,1801,54,33,1,0.2501837933031794,0.0165815763710823,7,5,0.0588859748972192,0.8838137835801678,open_to_close,3.231283595419579,2.8710835954195777,2.510883595419576,2.150683595419577,1829.0,1848.0,0.9745670995670995,True,True,False,True,False,True
